2012,"Danny Amendola","","","","","Q","O","O","O","P","Q","Q","P","Q","Q","",""
2012,"Sam Bradford","","","","","","P","","","","","","","","","",""
2012,"Michael Brockers","O","O","O","Q","","","","","","","","","","","",""
2012,"Justin Cole","","","","","","","","","Q","","","","","","",""
2012,"Matt Conrath","O","Q","Q","Q","Q","Q","","Q","","","","","","","",""
2012,"Craig Dahl","","","","","","","","","","","","","","D","","Q"
2012,"Harvey Dahl","","","","","","","","","","","","","","","O","IR"
2012,"Matt Daniels","","","Q","Q","Q","P","","","O","IR","IR","IR","IR","IR","IR","IR"
2012,"Cortland Finnegan","","","","","","","","","","","","","","Q","Q","Q"
2012,"Bradley Fletcher","","","","","","","","","","","","","","","Q",""
2012,"Brandon Gibson","","","","","Q","","","Q","","","","","","","",""
2012,"Chris Givens","","","","","","","","Q","","P","","","","","",""
2012,"Mario Haggan","","","","","","Q","Q","Q","Q","Q","Q","Q","Q","P","",""
2012,"William Hayes","","","","","Q","Q","","","","","","","","","",""
2012,"Kellen Heard","","","","","","","","","Q","","","","","","",""
2012,"Wayne Hunter","","","Q","Q","Q","","Q","Q","Q","","","","","","",""
2012,"Steven Jackson","","","Q","Q","Q","","","","","","Q","Q","Q","P","Q","P"
2012,"Janoris Jenkins","","","","","","","Q","","","P","","","","","",""
2012,"Trumaine Johnson","","","","","","","Q","","","","","","","","",""
2012,"Lance Kendricks","","","","","","","","","","","Q","","","","",""
2012,"Kendall Langford","","","P","","","","","","","","","","","","",""
2012,"James Laurinaitis","","","","","","","","","","","","","","Q","Q","Q"
2012,"Trevor Laws","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR"
2012,"Rocky McIntosh","","","","","","","","","","","","","","","",""
2012,"Rodney McLeod","","","","","","","","","","","Q","","","","",""
2012,"Mike McNeill","","Q","","","","","","Q","","","","","Q","Q","",""
2012,"Quintin Mikell","","","","","Q","Q","","","","","","","","","",""
2012,"Brit Miller","","","Q","","","Q","","","","","","","","","",""
2012,"Austin Pettis","","","","","","","","","","Q","","","","","","P"
2012,"Robert Quinn","","","","","","","","","","","","Q","","","Q",""
2012,"Barry Richardson","","","","","","","","","P","","","Q","","","",""
2012,"Rodger Saffold","","Q","O","Q","Q","Q","Q","Q","Q","","","","","Q","",""
2012,"Darell Scott","Q","Q","","","","","","","","","","","","","",""
2012,"Eugene Sims","","","","P","Q","Q","D","Q","Q","Q","","","","","",""
2012,"Darian Stewart","","","","","","","","","D","Q","Q","","","","",""
2012,"Rokevious Watkins","","Q","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR"
2012,"Scott Wells","Q","IR","IR","IR","IR","IR","IR","IR","IR","IR","IR","Q","Q","Q","Q","Q"
